Timestamp,Team Name,Status,Campaign Count,Sent Count,Opens Count,Clicks Count,Replies Count,Error Message
2026-02-20 12:00:27,Aditya_Clients,Success,9,20436,10035,0,1010,
2026-02-20 13:02:32,Akshata_Clients,Success,6,6888,2406,0,119,
2026-02-20 13:19:12,Anagha_Clients,Success,5,1828,785,0,69,
2026-02-20 15:01:22,Anil_Clients,Success,4,11969,5352,0,481,
2026-02-20 18:03:42,Ankita_Clients,Success,7,19106,3441,314,1027,
2026-02-20 20:05:18,Aryan_Clients,Success,11,12155,5769,20,480,
2026-02-20 23:03:12,B2C,Success,32,7867,2886,945,312,
2026-02-21 00:00:11,Chandrika_Clients,Success,4,6351,1569,0,164,
2026-02-21 01:01:08,Dipika_Clients,Success,3,5506,4401,0,351,
2026-02-21 01:08:09,Gayatri_Clients,Success,2,254,97,0,14,
2026-02-21 02:05:08,Hiral_Clients,Success,4,6630,5750,0,222,
2026-02-21 03:00:16,Kajal_Clients,Success,2,4967,5577,568,146,
2026-02-21 13:05:34,Kalidasa_Clients,Success,25,63414,10315,2768,2124,
2026-02-21 16:05:42,Kashish_Clients,Success,13,19458,7296,0,572,
2026-02-21 16:17:10,Kishan_Clients,Success,3,1694,515,0,41,
2026-02-21 19:07:45,Likhita_Clients,Success,14,21787,4065,0,677,
2026-02-21 20:01:32,Linkedin_Clients,Success,7,5887,1664,0,245,
2026-02-21 21:02:56,Manya_Clients,Success,6,6835,2377,10,199,
2026-02-21 21:21:07,Mehnaz_Clients,Success,3,2149,665,0,54,
2026-02-22 01:04:44,Nisha_Clients,Success,14,25856,8427,0,975,
2026-02-22 04:07:25,Parth_Clients,Success,10,19888,7069,758,952,
2026-02-22 13:01:00,Piyush_Clients,Success,22,51942,14100,381,2020,
2026-02-22 13:23:28,Pradeep_Clients,Success,3,2736,1605,0,88,
2026-02-22 14:17:50,Rashi_Clients,Success,11,8460,3699,0,187,
2026-02-22 14:28:23,Rasika_Clients,Success,3,826,953,0,41,
2026-02-22 17:03:45,Ritika_Clients,Success,9,20944,4369,0,807,
2026-02-22 17:08:20,Riya_Clients,Success,1,185,86,0,74,
2026-02-22 18:02:22,Ruby_Clients,Success,4,6636,2819,1,206,
2026-02-22 18:17:44,Sagar_Clients,Success,2,5327,3787,0,167,
2026-02-22 18:18:47,Shridhar_Clients,Success,0,0,0,0,0,
2026-02-22 18:34:12,Sibin_Clients,Success,3,3933,2304,0,195,
2026-02-22 20:05:41,Siddesh_Clients,Success,12,11020,4364,0,572,
2026-02-22 20:20:01,Sukanya_Clients,Success,3,3604,1078,0,76,
2026-02-22 21:19:20,Sumanth_Clients,Success,10,9387,1950,9,369,
2026-02-22 21:33:24,Vishal_Clients,Success,4,1052,417,0,32,
2026-02-23 01:00:39,Abhishek_Clients,Success,15,23956,3666,89,787,
